 ,CategoryTitle,ActivityTitle,PressureTitle,APJustificationDesc,RPPTitle,RiskFactorDesc,EvidenceStandardDesc,ConfidenceScoreTitle
1,Defence and national security,Aerial military activity,Above water noise,"Noise can arise from aircraft, often in transit to and from military ranges, the impacts of which have been noted to be minimal under normal condition but heightened during period of severe winter weather when waterfowl can be increasingly sensitive to disturbance [JNCC0366]. However, the magnitude of the pressure will depend on the scale of the activity. The height, speed and noise of the aircraft are all factors to consider when determining potential impact.",medium-high,,The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,High
2,Defence and national security,Aerial military activity,"Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)","Collisions can occur between aircraft and birds - the size, height and speed of the aircraft will be factor to consider [5080]",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text). Factors such as height, speed and size of aircraft would need to be taken into consideration.",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
3,Defence and national security,Aerial military activity,Visual disturbance,"Aircraft movement can cause visual disturbance. The height, speed and noise of the aircraft are all factors to consider when determining impact [3077; 3134; 3270].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text). Factors such as height, speed and size of aircraft would need to be taken into consideration.",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
4,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Abrasion/disturbance of the substrate on the surface of the seabed,"Limited evidence is available, however, the presence of artificial structures on the seabed will inevitably lead to a disturbance of the seabed.",medium-high,,The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Low
5,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Changes in suspended solids (water clarity),"Limited evidence is available, however, during the placement of structures there may be a short term increase in suspended solids, caused by sediment disturbance.",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Low
6,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)","Collision ABOVE water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)","Access to cultural sites offshore may require use of a vessel. Marine birds are frequently attracted to or become disorientated by artificial light sources, which can result in collision and therefore injury or death [4378; 2826]. Bird collisions with vessels, including fishing vessels [2826], have been recorded with the risk being greatest at night for lighted ships near coastal areas and when the vessel is relatively close to large breeding aggregations of seabirds (rather than further offshore). However, there are relatively few sources of quantified information relating to seabird strikes on vessels. Nocturnal bird strikes on vessels tend to occur when bright, artificial light sources are used at times of poor visibility, typically during bad weather, often angled outwards or upwards from the vessel [4466; 4378].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
7,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)","Collision BELOW water with static or moving objects not naturally found in the marine environment (e.g., boats, machinery, and structures)","Access to cultural sites offshore may require use of a vessel. Vessels are documented to have collided with mobile marine species (particularly marine mammals). Species can collide with the propeller or other parts of the hull. The most lethal and serious injuries are caused by large ships (e.g. 80 m or longer) and vessels travelling at speeds faster than 14 knots. Most minor injuries, by contrast, involved collisions with vessels less than 45m long. Collisions are rarely reported for vessels doing less than 10 km/hour [5120; 4987].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,High
8,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Hydrocarbon & PAH contamination.  Includes those priority substances listed in Annex II of Directive 2008/105/EC.,"This pressure primarily relates to vessels associated with this activity and their movement. The primary chemicals of environmental concern in vessel oil and fuel are polycyclic aromatic hydrocarbons (PAHs) [JNCC0326]. Deliberate discharges of oil or oil/water mixtures from ships are prohibited within the North West European Waters Special Area, established by the International Maritime Organization under MARPOL Annex I in 1999. This includes all waters around the UK and its approaches. However, accidental discharges still occur. Information on accidental discharges of oil from ships and offshore platforms is compiled annually by the Advisory Committee on Protection of the Sea (ACOPS) on behalf of the Maritime and Coastguard Agency. Although the majority of incidents are minor, several incidents occur annually that lead to the actual or potential release of significant amounts of oil (typically from large shipping vessels and tankers) [3164].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
9,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Introduction of light,"The pressure is potentially associated with navigation and operational lighting on vessels. Under the Merchant Shipping (Distress Signals and Prevention of Collisions) Regulations 1996 all vessels in the UK must display lights in all weathers between sunset and sunrise including masthead lighting, sidelights, stern lights, towing lighting, all-round light and flash light [JNCC0254]. Marine birds are frequently attracted to or become disorientated by artificial light sources, which can result in collision and therefore injury or death [4378; 2826].",low,"The risk of this pressure will increase depending on the spatial/ temporal scale and intensity of the activity, the proximity of the activity to the feature (in space and time) and the sensitivity of the feature to the pressure. Cumulative and in-combination effects of activities may increase the risk further (see Activity-Pressure justification text).",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
10,Other man-made structures,"Cultural and heritage sites (e.g. wrecks, sculptures, foundations etc.)",Introduction or spread of invasive non-indigenous species (INIS),"This pressure relates to use of a vessel, aquatic organisms may be transferred to new locations as biofouling on vessels and gear and can be harmful and invasive in locations where they do not naturally occur [3164; 3132; 2798; 4338; 4339]. All craft have some biofouling, even if recently cleaned or anti-fouled [4978; 5177].",low,"The risk of this pressure will increase as a result of non-compliance to legislation, codes of conduct or best practice (see Activity-Pressure justification text). The risk of introducing new species may also increase with the range of vessel/boat activity – e.g. travelling from locations outside the UK.",The associated evidence follows JNCC's evidence quality assurance policy (2014). See here for more information: http://jncc.defra.gov.uk/default.aspx?page=6675. A confidence score is assigned to JNCC evidence to meet Evidence Quality Guidance Note 1.,Medium
